Year,Modularity,Nodes,Edges,Communities,In_Range
2000,0.4976509322037792,17037,25528,4774,True
2001,0.49780177110458546,18909,29652,5072,True
2002,0.49752037243899017,22038,37404,5496,True
2003,0.49770773895667747,29338,52997,7039,True
2004,0.4981879880149773,30585,50935,7424,True
2005,0.49810546012121365,33086,55374,7767,True
2006,0.49732401590434544,34311,65222,7673,True
2007,0.49760969960892065,35955,61952,8104,True
2008,0.49746418942945886,39534,73151,8459,True
2009,0.49591907291720183,40367,79946,8556,True
2010,0.49569356142489884,42899,79348,8802,True
2011,0.4945950321898718,43910,84179,8684,True
2012,0.49196377388352536,50354,104400,9195,True
2013,0.4893534877432703,55373,119139,9525,True
2014,0.4853577353381332,62149,141641,9945,True
2015,0.47912247928222973,70185,174006,10631,True
2016,0.47434628340757184,78925,190312,11427,True
2017,0.459857292833664,115660,284273,16007,True
2018,0.442571755831406,165627,435551,19454,True
2019,0.42131222980782645,225891,657797,22110,True
2020,0.41842338736890666,226796,707512,20843,True
