year,modularity,n_nodes,n_edges,n_communities,avg_community_size
2000,0.9976812265585655,48549,77862,11083,4.38049264639538
2001,0.9976934854511208,53696,87797,11744,4.572207084468665
2002,0.9962838282777996,61413,108464,12623,4.865166759090549
2003,0.9957880452797304,77304,144391,14710,5.255200543847723
2004,0.9950685601765606,88348,164079,15860,5.5704918032786885
2005,0.9936403842241994,99957,185865,17071,5.855368754027298
2006,0.9911968234397768,114638,229508,18298,6.265056290304951
2007,0.9898687773257376,125012,246397,19485,6.415807031049526
2008,0.9876712978553186,134247,269885,20184,6.65115933412604
2009,0.985370423703623,147407,310130,21271,6.929951577264821
2010,0.9819639883198686,159419,338221,21994,7.248294989542602
2011,0.978649432153153,178140,384606,23676,7.52407501267106
2012,0.9743457333853077,197976,446813,24417,8.108121390834254
2013,0.9665856852012242,217371,550581,24914,8.72485349602633
2014,0.9650623539158126,233253,569608,25761,9.054500989868405
2015,0.9587709786827263,253869,651755,26474,9.589370703331571
2016,0.9492548905911895,270628,710672,26928,10.050059417706477
2017,0.9374271427136445,301690,826451,28128,10.72561149032992
2018,0.9241697853916818,344810,1012145,29202,11.807752893637423
2019,0.9052833776312048,399447,1243215,30674,13.022331616352611
2020,0.8957254408632177,428400,1437174,31380,13.652007648183556
