year,modularity,modularity_newman,n_nodes,n_edges,n_communities,avg_community_size,network_density
2000,0.9961596996007894,0.9957930993432972,4340,5126,806,3.9851116625310175,0.0005444139160098686
2001,0.9950800723613594,1.0339791843864266,5145,6301,928,4.1907327586206895,0.00047616024859177173
2002,0.9976773294195921,1.0155934597432954,6520,7610,1181,4.159187129551228,0.00035808495600872205
2003,0.9969529796767931,1.027197336111257,9035,11389,1614,4.3166047087980175,0.0002790662686213149
2004,0.9982574594480099,1.04203696101858,10790,13134,1875,4.413866666666666,0.00022564430132602535
2005,0.9986253655070084,1.0370362323161675,12860,15540,2257,4.471422241914045,0.00018794589528704504
2006,0.9982749402616408,1.0360666425948455,15298,19409,2619,4.6002290950744555,0.0001658793146751111
2007,0.9984566341740369,1.0509818947232266,17223,21506,2868,4.71234309623431,0.000145009765638367
2008,0.9986063427888319,1.0515820045545257,18369,22716,3078,4.709876543209877,0.00013465251541995368
2009,0.9982783854730451,1.0641994708434894,20917,26846,3353,4.971368923352222,0.0001227245792829445
2010,0.9980090496211818,1.0642396430175072,23405,30132,3668,5.140403489640131,0.00011001685340480656
2011,0.9967755023685954,1.0713826389846342,26980,35749,4114,5.309188138065143,9.82259188439978e-05
2012,0.9962433897841055,1.0834335202166827,31920,43852,4650,5.645161290322581,8.608098773830783e-05
2013,0.992960180042408,1.098523606751228,36401,51446,4976,6.090233118971061,7.765455060859034e-05
2014,0.9910074762177173,1.1017595083104597,39491,57041,5212,6.341327705295472,7.315295286483531e-05
2015,0.984640383522504,1.1110719969468508,45100,68863,5633,6.802059293449316,6.771306623826202e-05
2016,0.9810714656197063,1.1113935947717493,49168,76888,5838,7.227475162726961,6.361101231250678e-05
2017,0.9756474263998403,1.124743046162142,57745,95552,6221,8.07474682526925,5.731239099027525e-05
2018,0.9708118967410387,1.1322171079280798,69550,120703,6900,8.865217391304348,4.9906835825134805e-05
2019,0.9639023995810165,1.126298958909101,83883,151595,7899,9.408152930750727,4.3089568194668975e-05
2020,0.9626942770569913,1.1310774296356774,91021,173415,7842,10.376307064524356,4.186375905472624e-05
