year,modularity,n_nodes,n_edges,n_communities,avg_community_size,network_density
2000,0.4708680142687277,7,9,2,3.5,0.42857142857142855
2001,0.754753156770857,45,166,6,7.5,0.06873706004140787
2002,0.49986562751948405,10,33,2,5.0,0.14285714285714285
2003,0.684607731320828,25,78,4,6.25,0.0663265306122449
2004,0.8076243880439684,48,170,7,6.857142857142857,0.047619047619047616
2005,0.78125,18,24,5,3.6,0.1568627450980392
2006,0.0,5,22,1,5.0,0.20952380952380953
2007,0.0,5,46,1,5.0,0.0773109243697479
2008,0.49721541546001335,10,50,2,5.0,0.07936507936507936
2009,0.4049967126890204,13,62,2,6.5,0.10420168067226891
2010,0.6864888888888889,24,81,4,6.0,0.06108597285067873
2011,0.8960881542699726,42,48,13,3.230769230769231,0.05574912891986063
2012,0.7014965986394558,24,110,4,6.0,0.04975124378109453
2013,0.34265318262938727,12,67,2,6.0,0.0708245243128964
2014,0.0,11,106,1,11.0,0.06883116883116883
2015,0.47231833910034604,15,81,2,7.5,0.08181818181818182
2016,0.40495312125845023,27,193,4,6.75,0.031613431613431615
2017,0.0,5,142,1,5.0,0.022046266107747244
2018,0.8132222520827734,45,232,7,6.428571428571429,0.023505572441742655
2019,0.8901722939040408,81,328,14,5.785714285714286,0.016318407960199004
2020,0.6606805293005671,15,164,3,5.0,0.019260129183793304
